"FOODNAME"
"GRAPEFRUIT JUICE, UNSWEETENED, VITAMIN C"
"FRUIT JUICE, UNSWEETENED, VITAMIN C, AVERAGE"
"LEMON JUICE, UNSWEETENED, DILUTED"
"PINEAPPLE JUICE, UNSWEETENED, VITAMIN C"
"LINGONBERRY, COWBERRY"
"CRANBERRY"
"BLUEBERRY, BILBERRY"
"BLACKCURRANT"
"REDCURRANT"
"GOOSEBERRY"
"STRAWBERRY"
"RASPBERRY"
"CLOUDBERRY"
"MIXED BERRY JAM"
"BERRY JUICE, SWEETENED, UNDILUTED, HOME-MADE"
"BLACKCURRANT JUICE, SWEETENED, UNDILUTED, HOME-MADE"
"BERRY JUICE, UNSWEETENED, UNDILUTED, HOME-MADE"
"BERRY, AVERAGE"
"SEA BUCKTHORN BERRY"
"BERRY MARMALADE"
"ROWANBERRY, SORBUS"
"JUICE DRINK, BLACKCURRANT-LINGONBERRY, CONTAINS SUGAR"
"JUICE DRINK, LINGONBERRY, UNDILUTED, CONTAINS SUGAR"
"BERRY JUICE, SWEETENED, DILUTED, HOME-MADE"
"BLACKCURRANT JUICE, SWEETENED, DILUTED, HOME-MADE"
"BERRY JUICE, UNSWEETENED, DILUTED, HOME-MADE"
"FRUIT JUICE, FIVE FRUITS, UNSWEETENED, VITAMIN C"
"PINEAPPLE, CANNED, IN OWN JUICE"
"APPLESAUCE, UNSWEETENED"
"FRUIT NECTAR, BERRY NECTAR, SWEETENED, 50% FRUIT"
"BERRY JUICE, UNSWEETENED"
"JAM, SWEETENED WITH FRUCTOSE"
"MUSKMELON/CANTALOUPE MELON, WITHOUT SKIN"
"BERRY NECTAR DRINK, SWEETENED, CONTAINS 50% BERRIES"
"BUTTER"
"(ARC)BLENDED SPREAD 80%"
"HARD MARGARINE  80%, SUNNUNTAI, FOR BAKING, LOW-LACTOSE"
"(ARC)CATERING FAT FOR DEEP FRYING 100%"
"MARGARINE, PASTRY, 80% FAT, INDUSTRIAL"
"CATERING MARGARINE FOR BAKING, 80% FAT"
"CATERING OIL, 70% RAPESEED OIL, 30% PALM OIL"
"RAPESEED OIL"
"OLIVE OIL"
"PEANUT OIL"
"SUNFLOWER OIL"
"COOKING OIL, AVERAGE, 87% RAPESEED, 8% SUNFLOWER,AND 5% OLIVE OIL"
"SOYBEAN OIL"
"CORN OIL, MAIZE OIL"
"LARD, FRYING FAT"
"COCONUT BUTTER"
"TALLOW, BEEF FAT"
"MAYONNAISE, 60% FAT"
"SALAD DRESSING, FRENCH DRESSING WITH MUSTARD"
"BLENDED SPREAD 40%, KEVYT LEVI, LOW-SODIUM, LOW-LACTOSE"
"MARGARINE 60%, RAINBOW/PIRKKA/ELDORADO/K-MENU"
"BLENDED SPREAD 40%, KEVYT LEVI, LOW-LACTOSE"
"(ARC)MARGARINE 40%, LÄTTA"
"BUTTER, UNSALTED"
"MAYONNAISE, 27-33% FAT"
"SALAD DRESSING, <17% FAT, LOW-FAT"
"BUTTER, HIGH-SODIUM"
"(ARC)BLENDED SPREAD 80%, HIGH-SODIUM"
"MARGARINE FOR BAKING 80%, PIRKKA/RAINBOW"
"BLENDED SPREAD 75%, AVERAGE OF INDUSTRIAL PRODUCTS"
"BUTTER OIL 100%, MILKFAT"
"(ARC)VEGETABLE FAT SPREAD 32%, BENECOL LIGHT"
"MILK, RAW MILK, 4.4 % FAT, WITHOUT ADDED VITAMIN D"
"BEESTINGS, COLOSTRUM"
"MILK, GOAT MILK"
"MILK, 0% FAT, I UG ADDED VITAMIN D"
"SOUR MILK, 0.8% FAT"
"SOUR MILK, 1 UG VITAMIN D"
"SOUR MILK, BUTTER MILK"
"SOUR CREAM, 10-12% FAT"
"SOUR MILK, ACIDOPHILUS, 2.5% FAT, 1 UG VITAMIN D, PROBIOTICS"
"CURD MILK, PLAIN, 3.5% FAT"
"CURD MILK, PLAIN, 2.5% FAT"
"YOGHURT, PLAIN, 2.5% FAT, LOW-LACTOSE"
"YOGHURT, PLAIN, BULGARIAN, 9% FAT"
"QUARK, <0.5% FAT"
"MILK, 1% FAT, 1 UG ADDED VITAMIN D"
"CREME FRAICHE, 28% FAT"
"WHIPPING CREAM, 38% FAT, LOW-LACTOSE, ULTRA-HEAT-TREATED"
"SOUR CREAM, 40% FAT"
"WHIPPING CREAM, 38% FAT"
"COOKING CREAM, 19% FAT"
"CREAM, LOW-FAT, 1O% FAT, LOW-LACTOSE"
"COTTAGE CHEESE, FAT-FREE, LOW-LACTOSE"
"CURD MILK, FLAVOURED WITH JAM, 1% FAT, LOW-LACTOSE"
"YOGHURT, PLAIN, FAT-FREE, LOW-LACTOSE, 0.5 UG VITAMIN D"
"YOGHURT, FLAVOURED, FAT-FREE"
"CHEESE, WHITE MOULD CHEESE, CAMEMBERT/BRIE, 26-30% FAT"
"CHEESE, TURUNMAA/OLTERMANNI, 30% FAT"
"CHEESE, EMMENTAL, 27-30% FAT, RED-LABEL"
"CHEESE, HARD CHEESE, EDAM TYPE, 24-27% FAT"
"CHEESE, SEMI-HARD CHEESE, EDAM/KADETT, 9-11% FAT"
"CHEESE, HARD CHEESE, GOAT CHEESE, 20-25% FAT"
"PROCESSED CHEESE, 20-24% FAT"
"PROCESSED CHEESE, 27-35% FAT"
"COTTAGE CHEESE, 2-5% FAT"
"CHEESE, HOME-MADE FRESH CHEESE, 9-14% FAT"
"CHEESE, BLUE CHEESE, AURA/DANAZOLE, AVERAGE, 27-30% FAT"
"CHEESE, GOUDA, AVERAGE, 28-30% FAT"
"CHEESE, SEMI-HARD CHEESE, LAPPI/SMÅLAND/BILLINGE/RUSTHOLLI, 25-35% FAT"
"CHEESE, FINNISH OVEN CHEESE, 17-23% FAT"
"CREAM CHEESE, 36-44% FAT, KASAKKA/MUSTA-PEKKA"
"PROCESSED CHEESE, 9-12% FAT, LOW-FAT"
"SOFT ICE CREAM WITH WAFER"
"ICE CREAM, CREAM BASED"
"ICE CREAM BAR, CREAM BASED, CHOCOLATE-COATED"
"ICE CREAM CORNET, CREAM BASED"
"ICE CREAM, MILK BASED"
"ICE CREAM, ARTIFICIALLY SWEETENED, 6.5% FAT"
"ICE CREAM, CREAM BASED, >12% FAT"
"(ARC)ICE CREAM, FAT-FREE"
"MILK POWDER, FAT-FREE MILK"
"MILK, 1.5% FAT, LOW-LACTOSE, 1 UG ADDED VITAMIN D"
"CURD MILK, PLAIN, 1% FAT"
"CREAM CHEESE, 30% FAT, FLAVOURED, CREME BONJOUR/CANTADOU"
"MILK, 1.5% FAT, 1 UG ADDED VITAMIN D"
"YOGHURT, FLAVOURED, FAT-FREE, PARTIALLY ARTIFIALLY SWEETENED"
"YOGHURT, FLAVOURED, 7% FAT"
"YOGHURT, FAT 6-8%, FOR FOOD PREPARATION"
"MILK, 3.5% FAT, 1 UG ADDED VITAMIN D"
"CHEESE, FETA TYPE SALAD CHEESE IN BRINE, 18% FAT"
"CHEESE, EMMENTAL, 27-30% FAT, BLUE-LABEL"
"CHEESE, CHEDDAR TYPE, 34% FAT"
"COOKING CREAM, VEGETABLE FAT, 15% FAT"
"PORK, MEDIUM FAT"
"PORK CHOP, THICK LAYER OF FAT"
"HAM, FATTY"
"PORK SHOULDER"
"PORK RIBS"
"BACON, 32% FAT"
"FATBACK"
"PORK KNUCKLE, HAM HOCK"
"PORK BEEF MINCE"
"LEAN STEAK MINCE, 7% FAT"
"PORK, AVERAGE"
"BEEF, AVERAGE"
"BEEF, MEDIUM FAT, 13% FAT"
"BEEF ROUND"
"BEEF CHUCK, BEEF SHOULDER"
"BEEF KNUCKLE"
"BEEF BRISKET"
"BEEF SIRLOIN"
"BEEF FLANK"
"VEAL ROAST, RAW"
"LAMB, LOW-FAT"
"LAMB"
"LAMB ROAST"
"REINDEER"
"ELK"
"HARE"
"RABBIT"
"BEEF, CANNED"
"PORK AND BEEF, CANNED"
"BEEF JELLY"
"PORK ROAST, LEAN"
"CHICKEN"
"CHICKEN WITH SKIN"
"TURKEY WITH SKIN"
"GAME BIRD"
"CHICKEN STRIPS"
"HAM, SMOKED, 6% FAT"
"BEEF, CURED, 2.8% FAT"
"HAM, COOKED HAM, 3% FAT"
"LIVER, BEEF"
"LIVER, PORK"
"LIVER, CHICKEN"
"LIVER, REINDEER"
"LIVER, AVERAGE"
"KIDNEY"
"HEART, BEEF"
"TONGUE, BEEF"
"BLOOD"
"REINDEER, COLD SMOKED"
"HAM, COOKED HAM, LOW-FAT, 3% FAT"
"BALTIC HERRING"
"BALTIC HERRING, SALTED"
"BALTIC HERRING, SMOKED"
"HERRING, SALTED"
"COD"
"ZANDER, PIKE-PERCH"
"REDFISH, SMOKED"
"HALIBUT, SMOKED"
"VENDACE, LAKE"
"VENDACE, SALTED LAKE FISH"
"VENDACE, SMOKED LAKE FISH"
"PERCH"
"PIKE"
"BREAM"
"POWAN, WHITEFISH, POLLAN, LAVARET"
"POWAN, SMOKED"
"SALMON, WHOLE"
"SALMON, SALT-CURED"
"BURBOT"
"FLOUNDER"
"EEL"
"RAINBOW TROUT, WHOLE, AVERAGE"
"TROUT"
"FISH, AVERAGE, BALTIC HERRING/VENDACE/PERCH/PIKE"
"LAMPREY, SMOKED"
"SAITHE, FROZEN"
"TUNA, IN OIL, CANNED"
"ANCHOVY"
"SALMON IN OIL, CANNED"
"SARDINE, AVERAGE, IN OIL AND TOMATO SAUCE"
"CAVIAR, DARK ROE OF STURGEON"
"ROE PASTE"
"MUSSEL IN WATER, CANNED"
"SHRIMP"
"CRAYFISH"
"HERRING, PICKLED/SALTED, AVERAGE"
"BALTIC HERRING, PICKLED/SALTED, AVERAGE"
"BREAM, SMOKED"
"ROACH"
"REDFISH, ROSEFISH, FROZEN"
"RAINBOW TROUT SEA, FILLET"
"EGG YOLK, 34% OF EGG MASS"
"EGG WHITE, 66% OF EGG MASS"
"EGG, QUAIL, RAW"
"FISH, LOW-FAT, AVERAGE, SMOKED"
"FISH, FATTY, SMOKED"
"EGG WITHOUT SHELL"
"HERRING IN GARLIC OR MUSTARD SAUCE"
"BALTIC HERRING IN DILL OR MUSTARD SAUCE"
"TUNA"
"OYSTER, EUROPEAN"
"SNAIL"
"SQUID"
"LOBSTER"
"RAINBOW TROUT FILLET, SALT-CURED"
"SALMON FILLET"
"COFFEE, AVERAGE"
"TEA"
"BEER, LAGER, MEDIUM STRENGTH, 4.5% VOLUME"
"BEER, LAGER, STRONG, 5-5.5% VOLUME"
"WINE, AVERAGE, 8-15% VOLUME"
"WINE, FORTIFIED, SWEET, BITTERS, SHERRY, VERMOUTH, MADEIRA, FRUIT WINE"
"SPIRIT, VODKA, GIN"
"SPIRIT, BRANDY/RUM/WHISKY 40% VOLUME"
"LIQUEUR, 20-30% VOLUME"
"GIN AND GRAPEFRUIT DRINK, 5.5% VOLUME"
"SOFT DRINK, LEMONADE"
"CIDER, SWEET, <3% VOLUME"
"MEAD, FINNISH SIMA"
"BEER, LAGER, VERY MILD <2.8% VOLUME"
"BEER HOME-MADE, ALCOHOL-FREE"
"MINERAL WATER"
"LEMON TEA DRINK POWDER, SWEETENED INSTANT TEA"
"SOFT DRINK, LIGHT, SUGAR-FREE"
"MINERAL WATER, LOW SODIUM"
"WATER, TAP WATER"
"TEA, HERBAL TEA"
"RED WINE"
"WHITE WINE, DRY"
"WHITE WINE, SWEET"
"SOFT DRINK, COLA, AVERAGE"
"VINEGAR, WINE VINEGAR"
"FILTERED COFFEE DRINK"
"BOILED COFFEE DRINK"
"CAPPUCCINO, UNSWEETENED, WHOLE MILK"
"VINEGAR"
"VINEGAR WITH HONEY AND APPLE"
"WINE, LIGHT, 4-5% VOLUME"
"TEA, GREEN TEA"
"SOFT DRINK, PARTIALLY ARTIFICIALLY SWEETENED"
"CIDER, SWEET, 4.7% VOLUME"
"BEER, STRONG ALE, 7.5-8% VOLUME"
"SOFT DRINK, COLA, LIGHT, PARTIALLY ARTIFICIALLY SWEETENED"
"CREAM LIQUEUR, 15-17% VOLUME"
"ORANGE CAMPARI, COCKTAIL"
"IRISH COFFEE, 8% VOLUME"
"WINE, MULLED"
"GLUCOSE SYRUP, PARTLY REFINED, STARCHY"
"BLOODY MARY"
"RUM COLA"
"SCREWDRIVER"
"GIN TONIC"
"TOM COLLINS, GIN COCKTAIL"
"DRY MARTINI"
"EGGNOG"
"RYE GRUEL, RYE FLOUR, WATER, SALT"
"RYE GRUEL, RYE FLOUR, JUICE, SALT"
"RYE PORRIDGE, RYE FLOUR, WATER, SALT"
"RYE PORRIDGE, RYE FLOUR, MILK, SALT"
"RYE POTATO PORRIDGE, WATER, SALT"
"RYE BERRY PORRIDGE, WATER, LINGONBERRY, SUGAR, SALT"
"RYE LINGONBERRY PORRIDGE, SALT, WITHOUT SUGAR"
"RYEBREAD, WATER, WHOLEGRAIN RYE FLOUR"
"MULTIGRAIN BREAD, SWEET-AND-SOUR BREAD, SOUR MILK, WHEAT AND RYE FLOUR"
"KARELIAN PASTY, RICE FILLING"
"KARELIAN PASTY, POTATO FILLING, RYE CRUST"
"BERRY PIE, CRUSHED BERRIES, RYE CRUST"
"BOILED KARELIAN PASTY, RICE FILLING IN RYE CRUST"
"BREAD PORRIDGE, LINGONBERRIES, RYE BREAD, SEMOLINA"
"MÄMMI, SWEETENED MALT PORRIDGE, FINNISH EASTER PUDDING"
"RYE GRUEL, RYE FLAKES, MILK, SALT"
"RYE PORRIDGE, RYE FLAKES, WATER, SALT"
"RYE PORRIDGE, RYE FLAKES, MILK, SALT"
"MIXED FLAKE GRUEL, MILK, SALT"
"MIXED FLAKE PORRIDGE, MILK, SALT"
"WHEAT TORTILLA, BURRITO, WRAP, VEGETABLE FILLING"
"KRUSKA PORRIDGE, CRUSHED GRAINS AND RAISINS, WATER, SALT"
"WHEAT TORTILLA, BURRITO, WRAP, PORK BEEF MINCE FILLING"
"WHEAT TORTILLA, BURRITO, WRAP, CHICKEN FILLING"
"RYE BREAD, 51% RYE"
"WHITE BREAD, PITA BREAD"
"WHEAT GRUEL, MILK, WHEAT FLOUR, SUGAR, SALT"
"EGG GRUEL WITH MILK"
"WHEAT PORRIDGE, LOW-FAT MILK, WHEAT FLOUR, SUGAR, SALT"
"WHITE BREAD, FRENCH BREAD, LOW-FAT MILK, WHEAT FLOUR"
"WHITE BREAD, WHEAT ROLL, LOW-FAT MILK"
"MULTIGRAIN BREAD, FLATBREAD, LOW-FAT MILK, WHEAT AND RYE FLOUR"
"DANISH PASTRY, LOW-FAT MILK, 20% FAT"
"DOUGHNUT, LOW-FAT MILK, HOME-MADE"
"BAGEL, SWEET, LOW-FAT MILK"
"DOUGH, UNSWEETENED"
"BERRY PIE, BASIC SWEET DOUGH, LOW-FAT MILK"
"BERRY PIE, BASIC SWEET DOUGH, FAT-FREE MILK"
"BERRY PIE, BASIC SWEET DOUGH, WHOLE MILK"
"JAM PIE, BASIC SWEET DOUGH, LOW-FAT MILK"
"JAM PIE, BASIC SWEET DOUGH, FAT-FREE MILK"
"APPLE PIE, BASIC SWEET DOUGH, LOW-FAT MILK"
"QUARK PIE, BASIC SWEET DOUGH, LOW-FAT MILK"
"BERRY PIE, SHORTBREAD CRUST"
"BERRY PIE WITH SOUR MILK, SHORTBREAD CRUST"
"JAM PIE, SHORTBREAD CRUST"
"RHUBARB PIE, SHORTBREAD CRUST"
"APPLE PIE, SHORTBREAD CRUST"
"QUARK PIE, SHORTBREAD CRUST"
"APPLE PIE WITH QUARK FILLING, SHORTBREAD CRUST"
"SWISS ROLL DOUGH, UNSWEETENED"
"TOSCA CAKE"
"SPONGE CAKE, BERRY AND CREAM FILLING"
"SPONGE CAKE, CARAMEL CAKE WITH WHIPPED CREAM"
"SPONGE CAKE WITH CUSTARD"
"SPONGE CAKE, FRUIT AND CREAM FILLING, GELATIN TOPPING"
"CARROT PIE, BUTTER DOUGH"
"MUSHROOM PIE, BUTTER DOUGH"
"VEGETARIAN PIE, SHORTCRUST PASTRY"
"THIN PANCAKE, LOW-FAT MILK"
"BLIN WITH LOW-FAT MILK, BARLEY FLOUR"
"OVEN-BAKED PANCAKE, LOW-FAT MILK"
"WHITE SAUCE, LOW-FAT MILK, THICKENED WITH FLOUR AND FAT"
"WHITE SAUCE, LOW-FAT MILK, THICKENED WITH FLOUR"
"SAUCE VELOUTE, MEAT BOUILLON, THICKENED WITH FLOUR"
"BROWN GRAVY, THICKENED WITH FAT AND FLOUR"
"THIN BROWN SAUCE WITH CREAM"
"HOLLANDAISE SAUCE"
"EGG SAUCE, LOW-FAT MILK, THICKENED WITH FLOUR AND FAT"
"PUDDING, PRUNE PUDDING"
"FRENCH TOAST WITH LOW-FAT MILK"
"COOKIE CRUMBS, WHIPPED CREAM AND JAM DESSERT, PAPPILAN HÄTÄVARA"
"GRAHAM GRUEL, MILK, SALT"
"GRAHAM PORRIDGE, WATER, SALT"
"GRAHAM BERRY PORRIDGE, WATER, LINGONBERRY, SUGAR, SALT"
"MULTIGRAIN BREAD, GRAHAM BREAD, LOW-FAT MILK, GRAHAM FLOUR"
"MULTIGRAIN BREAD, GRAHAM ROLL, LOW-FAT MILK, GRAHAM FLOUR, WHEAT FLOUR"
"SEMOLINA GRUEL, MILK, SALT"
"SEMOLINA PORRIDGE, MILK, SALT"
"SEMOLINA LINGONBERRY PORRIDGE, WHIPPED"
"SEMOLINA LINGONBERRY PORRIDGE, WHIPPED, SALT, WITHOUT SUGAR"
"SEMOLINA APRICOT PORRIDGE, WHIPPED, WITHOUT SALT"
"SEMOLINA CHOCOLATE PORRIDGE, MILK, WITHOUT SALT"
"SEMOLINA GRUEL, WHOLE GRAIN SEMOLINA, MILK"
"SEMOLINA PORRIDGE, WHOLE GRAIN SEMOLINA, WATER"
"SEMOLINA PORRIDGE, WHOLE GRAIN SEMOLINA, MILK"
"WHEAT GRUEL, MILK, WHEAT FLAKES, SALT"
"WHEAT GRUEL, WATER, WHEAT FLAKES, SALT"
"WHEAT PORRIDGE, MILK, WHEAT FLAKES, SALT"
"MACARONI GRUEL, MILK, SALT"
"MACARONI PORRIDGE, MILK, SALT"
"MACARONI CASSEROLE, LOW-FAT MILK, WITHOUT MEAT"
"MACARONI, FRIED"
"WHITE BREAD, DARK WHEAT FLOUR, WATER"
"MULTIGRAIN BREAD, BUTTERMILK BREAD, SOUR MILK, WHEAT AND DARK WHEAT FLOUR"
"MULTIGRAIN BREAD, CARROT ROLL, LOW-FAT MILK, DARK WHEAT FLOUR, FLOUR MIX"
"MULTIGRAIN BREAD, BREAD ROLL, LOW-FAT MILK, FLOUR MIX"
"BERRY PIE, SHORTBREAD CRUST/BASIC SWEET DOUGH, AVERAGE"
"BUN, CINNAMON BUN, HIGH-FAT, LOW-FAT MILK"
"WHITE BREAD, WHEAT BREAD, FRENCH BREAD, INDUSTRIAL"
"MULTIGRAIN BREAD, BUCKWHEAT BREAD, WATER, BUCKWHEAT FLOUR, NATURALLY GLUTEN-FREE"
"SWISS ROLL, GLUTEN-FREE"
"RYE BREAD, WATER, RYE AND DARK WHEAT FLOUR"
"RYE BREAD, WHOLEGRAIN RYE, DARK WHEAT FLOUR, INDUSTRIAL"
"MULTIGRAIN BREAD, GRAHAM BREAD, WATER, DARK WHEAT FLOUR, GRAHAM FLOUR"
"MULTIGRAIN BREAD, GRAHAM BREAD, LOW-FAT MILK, DARK WHEAT FLOUR, GRAHAM FLOUR"
"RYE BREAD, WHOLEGRAIN RYE, POTATO, RUISPALAT"
"MULTIGRAIN BREAD, SEED BREAD, WATER, WHEAT FLOUR, CRUSHED WHEAT GRAINS, SEEDS"
"MULTIGRAIN BREAD, CRUSHED GRAINS, WATER, WHEAT AND RYE FLOUR, OAT FLAKES"
"RYE BREAD, WHOLEGRAIN RYE, LOW-SODIUM"
"BERRY AND RHUBARB PIE, SOFT"
"BERRY PIE, SWEETENED WITH FRUCTOSE, SOFT"
"CHRISTMAS STAR PASTRY"
"MUESLI WITH DRIED FRUIT"
"RICE, BOILED WITHOUT SALT"
"MACARONI, BOILED, SALT"
"PASTA, SPAGHETTI, BOILED, SALT"
"MACARONI, DARK, BOILED, SALT"
"CRASHED RYE GRAIN E AND RICE MIX, BOILED, SALT"
"RICE, LONG-GRAIN, BOILED, SALT"
"RICE, WHOLEGRAIN, BOILED WITHOUT SALT"
"RICE, NATURAL RICE, MIXED RICE AND WILD RICE, BOILED, SALT"
"RICE, BOILED, SALT"
"RYE, WHEAT AND POTATO DOUGH"
"RYE BREAD, SWEET AND SOUR RYE MALT BREAD"
